   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_03_Stamping
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 9 : Prog. = 85.709778
 Number         9
  238791  0.48683E+03
  238792  0.48680E+03
  238793  0.48677E+03
  238794  0.48671E+03
  238795  0.48659E+03
  238796  0.48639E+03
  238797  0.48609E+03
  238798  0.48568E+03
  238799  0.48519E+03
  238800  0.48466E+03
  238801  0.48413E+03
  238802  0.48366E+03
  238803  0.48334E+03
  238804  0.48330E+03
  238805  0.48367E+03
  238806  0.48440E+03
  238807  0.48534E+03
  238808  0.48627E+03
  238809  0.48704E+03
  238810  0.48758E+03
  238811  0.48791E+03
  238812  0.48804E+03
  238813  0.48801E+03
  238814  0.48784E+03
  238815  0.48761E+03
  238816  0.48736E+03
  238817  0.48689E+03
  238818  0.48569E+03
  238819  0.48227E+03
  238820  0.47278E+03
  238821  0.44971E+03
  238822  0.43768E+03
  238823  0.44490E+03
  238824  0.45293E+03
  238825  0.45831E+03
  238826  0.45342E+03
  238827  0.45146E+03
  238828  0.45318E+03
  238829  0.44977E+03
  238830  0.44860E+03
  238831  0.44958E+03
  238832  0.44927E+03
  238833  0.44677E+03
  238834  0.44378E+03
  238835  0.44403E+03
  238836  0.44713E+03
  238837  0.44968E+03
  238838  0.45188E+03
  238839  0.45394E+03
  238840  0.45486E+03
  238841  0.45524E+03
  238842  0.45556E+03
  238843  0.45499E+03
  238844  0.45385E+03
  238845  0.45310E+03
  238846  0.45429E+03
  238847  0.45850E+03
  238848  0.46287E+03
  238849  0.46616E+03
  238850  0.46885E+03
  238851  0.47026E+03
  238852  0.47667E+03
  238853  0.47675E+03
  238854  0.47673E+03
  238855  0.47663E+03
  238856  0.47641E+03
  238857  0.47642E+03
  238858  0.47656E+03
  238859  0.47652E+03
  238860  0.47633E+03
  238861  0.47543E+03
  238862  0.47434E+03
  238863  0.47170E+03
  238864  0.46634E+03
  238865  0.45900E+03
  238866  0.44933E+03
  238867  0.44418E+03
  238868  0.44614E+03
  238869  0.45014E+03
